a,final
SAHATWAR  BALLIA ,"25.836301, 84.301465"
SAIDNAGLI  AMROHA ,"28.670487, 78.397778"
SAKET  SOUTH ,"28.525169, 77.207737"
SAKRAN  SITAPUR ,"27.565942, 81.050003"
SALEMPUR  DEORIA ,"26.298933, 83.920913"
SALON  RAE BARELI ,"26.031804, 81.461712"
SAMASTIPUR  RLY MUJAFFARPUR ,"26.122187, 85.379089"
SANGIPUR  PRATAPGARH ,"26.046098, 81.667353"
SARAI ROHILLA  NORTH ,"28.664809, 77.191543"
SARDHANA  MEERUT ,"29.143282, 77.617321"
SASARAM  RLY PATNA ,"24.956223, 84.018699"
SASNI KOTWALI  HATHRAS ,"27.698695, 78.076489"
SATARA CITY  SATARA ,"17.677965, 74.024957"
SDR MANSA  MANSA ,"29.998711, 75.405586"
SEALDAH  SEALDAH GRP ,"22.621850, 88.385569"
SECTOR-36  CHANDIGARH ,"30.734024, 76.755489"
SECUNDERABAD  GRP SECUNDERABAD ,"17.434203, 78.503569"
SEVRAHI  KUSHI NAGAR ,"26.723444, 84.225845"
SHAHJAHANPUR  GRP LUCKNOW ,"27.559183, 80.660613"
SHAHJHANPUR  JHANSI ,"25.722450, 78.948221"
SHIVLI  KANPUR DEHAT ,"26.595963, 80.042939"
SHIVRAJPUR  KANPUR CITY ,"26.684155, 80.142783"
SIDHARI  AZAMGARH ,"26.048934, 83.193718"
SIKANDARA  AGRA ,"27.214076, 77.945460"
SIKANDARA  KANPUR DEHAT ,"26.367156, 79.631017"
SIMBHAWALI  HAPUR ,"28.764527, 77.988968"
SINDHAULI  SHAHJAHANPUR ,"27.963232, 79.977541"
SINGAHI  KHERI ,"28.326130, 80.898755"
SIRSA KALAR  JALAUN ,"26.292384, 79.434290"
STATION ROAD RATLAM  RATLAM ,"23.335478, 75.049349"
SUJANGANJ  JAUNPUR ,"25.769054, 82.295031"
SUKHPURA  BALLIA ,"25.851626, 84.096801"
SULTANPUR GHOSH  FATEHPUR ,"25.813201, 81.218130"
SYED RAZA  CHANDAULI ,"25.265517, 83.264158"
TAMBAUR  SITAPUR ,"27.735729, 81.151629"
THANESAR SADAR  KURUKSHETRA ,"29.976489, 76.893825"
TODI FATEHPUR  JHANSI ,"25.466936, 79.111160"
TUGHLAK ROAD  NEW DELHI ,"28.596879, 77.211681"
UBHAON  BALLIA ,"26.136677, 83.865826"
UDYOG VIHAR  GURGAON ,"28.498608, 77.081429"
UTRAON  ALLAHABAD ,"25.416975, 82.140984"
VIJAYAWADA  GRP VIJAYAWADA ,"16.513763, 80.642059"
WARDHA  WARDHA ,"20.751914, 78.597728"
YAMUNA VHR/GOKULPURI  NORTH EAST ,"28.700168, 77.274600"
YESHWANTHPURA  BANGALORE CITY ,"13.028754, 77.545192"
ZAFARGANJ  FATEHPUR ,"25.916133, 80.502089"
