"district","station","system","Month_Yr","locs","ps_loc_1","ps_loc_2"
"AMBALA","MAHESH NAGAR",2015-02-06,"2015-02","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-02-14,"2015-02","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-02-19,"2015-02","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-03-09,"2015-03","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-05-15,"2015-05","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-05-19,"2015-05","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-05-22,"2015-05","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-05-29,"2015-05","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-06-02,"2015-06","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-06-03,"2015-06","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-06-09,"2015-06","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-06-12,"2015-06","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-06-20,"2015-06","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-07-14,"2015-07","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-07-29,"2015-07","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-07-31,"2015-07","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-08-12,"2015-08","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-08-24,"2015-08","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-08-25,"2015-08","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-09-20,"2015-09","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-10-25,"2015-10","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-11-05,"2015-11","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-12-12,"2015-12","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2015-12-22,"2015-12","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-02-22,"2016-02","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-04-21,"2016-04","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-05-13,"2016-05","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-05-29,"2016-05","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-06-20,"2016-06","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-06-22,"2016-06","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-07-08,"2016-07","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-09-28,"2016-09","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-10-18,"2016-10","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-10-24,"2016-10","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-10-27,"2016-10","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-11-05,"2016-11","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-11-10,"2016-11","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-11-21,"2016-11","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-12-21,"2016-12","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2016-12-24,"2016-12","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-03-27,"2017-03","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-04-11,"2017-04","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-04-18,"2017-04","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-04-23,"2017-04","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-05-30,"2017-05","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-07-07,"2017-07","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-07-08,"2017-07","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-07-08,"2017-07","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-07-12,"2017-07","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-07-12,"2017-07","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-07-21,"2017-07","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MAHESH NAGAR",2017-07-30,"2017-07","MAHESH NAGAR AMBALA",30.33737,76.8635
"AMBALA","MULLANA",2015-01-05,"2015-01","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-01-06,"2015-01","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-02-16,"2015-02","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-03-08,"2015-03","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-03-14,"2015-03","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-04-03,"2015-04","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-04-30,"2015-04","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-05-31,"2015-05","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-05-31,"2015-05","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-06-14,"2015-06","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-06-28,"2015-06","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-07-08,"2015-07","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-07-11,"2015-07","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-07-17,"2015-07","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-07-30,"2015-07","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-09-21,"2015-09","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-09-26,"2015-09","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-10-22,"2015-10","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-10-23,"2015-10","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-11-06,"2015-11","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-11-10,"2015-11","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2015-12-13,"2015-12","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-01-01,"2016-01","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-02-24,"2016-02","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-03-04,"2016-03","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-05-03,"2016-05","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-05-06,"2016-05","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-05-24,"2016-05","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-06-18,"2016-06","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-06-28,"2016-06","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-07-05,"2016-07","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-09-19,"2016-09","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-09-29,"2016-09","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-11-22,"2016-11","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-11-24,"2016-11","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2016-12-05,"2016-12","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2017-03-26,"2017-03","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2017-04-28,"2017-04","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2017-05-13,"2017-05","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2017-05-18,"2017-05","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2017-06-01,"2017-06","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2017-06-26,"2017-06","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2017-07-28,"2017-07","MULLANA AMBALA",30.274482,77.043948
"AMBALA","MULLANA",2017-08-02,"2017-08","MULLANA AMBALA",30.274482,77.043948
"AMBALA","NAGGAL",2015-02-28,"2015-02","NAGGAL AMBALA",30.323709,76.867607
"AMBALA","NAGGAL",2015-03-04,"2015-03","NAGGAL AMBALA",30.323709,76.867607
"AMBALA","NAGGAL",2015-03-19,"2015-03","NAGGAL AMBALA",30.323709,76.867607
"AMBALA","NAGGAL",2015-04-02,"2015-04","NAGGAL AMBALA",30.323709,76.867607
"AMBALA","NAGGAL",2015-04-24,"2015-04","NAGGAL AMBALA",30.323709,76.867607
"AMBALA","NAGGAL",2015-06-05,"2015-06","NAGGAL AMBALA",30.323709,76.867607
"AMBALA","NAGGAL",2015-09-12,"2015-09","NAGGAL AMBALA",30.323709,76.867607
"AMBALA","NAGGAL",2015-10-10,"2015-10","NAGGAL AMBALA",30.323709,76.867607
"AMBALA","NAGGAL",2016-01-27,"2016-01","NAGGAL AMBALA",30.323709,76.867607
"AMBALA","NAGGAL",2016-01-30,"2016-01","NAGGAL AMBALA",30.323709,76.867607
